Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
25,782.6686714,2634.218871,761.2535571,1177.700529,1243.340614,1035.727329,-580.3292571,8.6,3.47,0.63,13.2,1.136,1.277,448,165,77.01,17.03
25,784.9351286,2631.821657,761.5441286,1180.417371,1246.057457,1036.003371,-578.0628,8.6,3.47,0.63,13.2,1.12,1.311,449,167,95.01,139.07
26,1144.924071,3166.894414,1030.3227,1566.703029,1230.57,1082.262343,811.0284429,8,3.53,0.57,13.48,0.816,0.943,392,161,43,140.53
26,1147.408457,3172.182814,1036.613571,1556.024529,1237.354843,1081.201757,813.2803714,8,3.55,0.57,13.2,0.872,0.934,387,163,35,86.31
26,1148.745086,3173.8536,1043.311243,1537.6023,1244.996871,1081.899129,808.4278286,8,3.56,0.57,13.68,0.912,0.934,368,164,41,187.41
27,929.8866857,2250.068914,763.5781286,567.6894,908.1519429,1040.623457,1573.153714,8.6,3.92,0.81,13.2,1.264,1.723,479,232,127.01,123.68
27,927.1407857,2244.460886,765.4959,572.8179857,914.4428143,1041.553286,1570.7565,8.5,3.91,0.77,13.2,1.28,1.791,502,225,93.01,65.56
27,923.6103429,2242.731986,745.2140143,556.3716429,898.5195,1038.633043,1576.437171,8.5,3.92,0.74,13.4,1.264,1.8,493,250,163.02,53.65
28,786.5042143,2658.365357,765.5394857,1179.705471,1233.5193,1037.732271,-584.3246143,8.2,3.48,0.59,13,0.52,1.114,194,96,104.01,40.41
28,786.7802571,2651.275414,761.6313,1185.763886,1240.391314,1040.565343,-586.0389857,8.2,3.48,0.6,13.2,0.52,1.131,190,91,93.01,19.95
28,784.8189,2644.359814,762.8081143,1188.480729,1243.544014,1039.519286,-587.1867429,8.2,3.48,0.59,13.2,0.48,1.157,203,93,114.01,7.6
29,1000.945929,2480.288657,800.8003286,33.21231429,937.5723,1072.702543,1545.607543,8.1,3.64,0.54,14,1.504,1.474,364,124,83.01,222.13
