Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
Ki-08,965.321871428571,2332.72195714286,644.632714285714,-287.476842857143,701.860757142857,1087.05677142857,1581.08631428571,8.2,3.69,0.53,12.4,0.936,0.934,465,211,61.01,243.28
Ki-08,966.019242857143,2331.44344285714,652.231157142857,-281.738057142857,706.698771428571,1091.58968571429,1587.56605714286,8.2,3.68,0.44,12.92,0.888,0.977,472,186,88.01,127.25
Ki-08,967.297757142857,2333.17234285714,654.250628571428,-280.953514285714,706.277442857143,1090.34022857143,1589.91968571429,8.2,3.69,0.45,12.92,0.808,1.046,488,193,74.01,236.07
KJR-10,951.447085714286,2324.0484,656.328214285714,-290.324442857143,693.1872,1084.76125714286,1580.28724285714,8.2,3.72,0.6,12.92,0.712,1.071,360,165,98.01,221.17
KJR-10,952.478614285714,2324.97822857143,656.967471428571,-287.898171428571,695.555357142857,1087.94301428571,1579.76421428571,8.2,3.71,0.59,13.2,0.816,1.063,369,136,118.01,264.37
KJR-10,955.093757142857,2327.57884285714,663.345514285714,-286.1838,697.2552,1137.8196,1581.0282,8.2,3.72,0.61,13.4,0.736,1.089,373,158,122.01,125.38
KW-10,785.007771428571,2642.96507142857,750.865628571429,1187.59448571429,1245.12762857143,1042.84632857143,-586.925228571429,8.3,3.46,0.62,13.2,1.088,1.286,430,151,103.01,2.66
KW-10,785.676085714285,2637.15364285714,753.887571428572,1190.35491428571,1249.96564285714,1041.45158571429,-583.293085714286,8.4,3.47,0.62,13.7,1.056,1.303,437,137,106.01,4.47
KW-10,781.782428571429,2638.37404285714,739.896557142857,1172.94968571429,1232.26984285714,1038.92361428571,-586.6056,8.3,3.46,0.62,13.7,1.032,1.311,418,165,109.01,6.28
LC-09,916.157185714286,2225.99507142857,760.628828571429,559.437171428572,888.843471428572,1037.34,1548.76024285714,7,3.76,0.5,12,0.328,0.951,87,124,49.00,204.41
LC-09,919.440642857143,2227.60774285714,759.335785714286,562.953085714286,892.170514285714,1037.29641428571,1552.46502857143,7,3.76,0.49,12,0.312,0.977,87,100,49.00,254.40
LC-09,923.988085714286,2232.315,747.5967,563.243657142857,894.829242857143,1037.51434285714,1558.78495714286,7.1,3.75,0.42,12,0.296,0.994,91,109,49.00,233.18
LE-09,770.639014285714,2430.63,767.152157142857,815.910042857143,943.993928571428,1073.69048571429,-123.3621,8.3,3.53,0.6,14.2,1.032,0.866,590,189,74.01,152.30
LE-09,768.9537,2423.35118571429,768.067457142857,818.830285714286,950.066871428571,1074.18445714286,-116.6499,8.4,3.53,0.61,14.8,1.048,0.917,602,189,92.01,168.74
